t,Bandit,Reward,Regret,TrueMean,Algorithm
200,3,3.6875625275703237,0,4,ThompsonSampling
201,3,3.803711416119655,0,4,ThompsonSampling
202,3,4.521591579031745,0,4,ThompsonSampling
203,3,4.6604526307642065,0,4,ThompsonSampling
204,3,5.602304405082158,0,4,ThompsonSampling
205,3,3.3138354536758974,0,4,ThompsonSampling
206,3,4.133104669856152,0,4,ThompsonSampling
207,3,3.4056452350797235,0,4,ThompsonSampling
208,3,3.883235343209353,0,4,ThompsonSampling
209,3,3.6320463387369184,0,4,ThompsonSampling
210,3,2.185404651741436,0,4,ThompsonSampling
211,3,2.772894182777396,0,4,ThompsonSampling
212,3,3.755652549140503,0,4,ThompsonSampling
213,3,1.993025383993361,0,4,ThompsonSampling
214,3,4.597506487170888,0,4,ThompsonSampling
215,3,4.148437433691424,0,4,ThompsonSampling
216,3,5.128236430684016,0,4,ThompsonSampling
217,3,4.589087088834234,0,4,ThompsonSampling
218,3,3.9833105544541767,0,4,ThompsonSampling
219,3,5.249340080564395,0,4,ThompsonSampling
220,3,3.4935928411560626,0,4,ThompsonSampling
221,3,4.579616893150385,0,4,ThompsonSampling
222,3,4.08375726215398,0,4,ThompsonSampling
223,3,3.434839107796472,0,4,ThompsonSampling
224,3,4.381581159736649,0,4,ThompsonSampling
225,3,3.914117735823188,0,4,ThompsonSampling
226,3,2.7645824836716324,0,4,ThompsonSampling
227,3,4.210374018006909,0,4,ThompsonSampling
228,3,2.2736465965686636,0,4,ThompsonSampling
229,3,2.8592480355549466,0,4,ThompsonSampling
230,3,5.310276957085369,0,4,ThompsonSampling
231,3,4.949672532160769,0,4,ThompsonSampling
232,3,3.453579605798266,0,4,ThompsonSampling
233,3,4.350847111105792,0,4,ThompsonSampling
234,3,5.043241525411626,0,4,ThompsonSampling
235,3,3.9814966655696113,0,4,ThompsonSampling
236,3,4.71252153532651,0,4,ThompsonSampling
237,3,4.290718552752237,0,4,ThompsonSampling
238,3,3.2062669931401815,0,4,ThompsonSampling
239,3,4.929434960413614,0,4,ThompsonSampling
240,3,3.24467420257999,0,4,ThompsonSampling
